127.0.0.1 - - [03/Oct/2018:14:04:33 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:02 -0300] "GET /the_Battle_for_Gondria/game/The_Battle_Of_Gondria/game/src/sprites/enemies/slimes.js HTTP/1.1" 200 9868
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/fonts/font.fnt HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/fonts/font.png HTTP/1.1" 404 1063
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/botoes/btnJogar.png HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/background/scene_menus.png HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/botoes/btnAjuda.png HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/botoes/btnJogarPress.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/botoes/btnVoltarPress.png HTTP/1.1" 404 1099
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/botoes/btnAjudaPress.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/botoes/btnInicio.png HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/menus/atacar.png HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/menus/interagir.png HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/menus/pausar.png HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/botoes/setas.png HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/botoes/btnFase1.png HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/botoes/btnFase1Press.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/botoes/btnFase2.png HTTP/1.1" 404 1087
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/botoes/btnFase2Press.png HTTP/1.1" 404 1097
0:0:0:0:0:0:0:1 - - [03/Oct/2018:14:06:03 -0300] "GET /the_Battle_for_Gondria/system/user/assets/images/botoes/btnFase3.png HTTP/1.1" 404 1087
