0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:56:16 -0300] "GET /the_Battle_for_Gondria/system/admin/index.html HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:56:16 -0300] "GET /the_Battle_for_Gondria/layout/css/admin.css HTTP/1.1" 200 3520
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:56:16 -0300] "GET /the_Battle_for_Gondria/addons/js/admin.js HTTP/1.1" 200 13679
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:56:16 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:56:16 -0300] "GET /the_Battle_for_Gondria/system/admin/main.html HTTP/1.1" 200 319
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:56:16 -0300] "POST /the_Battle_for_Gondria/ConstroiCharts HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:56:22 -0300] "GET /the_Battle_for_Gondria/system/admin/index.html?perfil HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:56:22 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:56:22 -0300] "GET /the_Battle_for_Gondria/system/admin/perfil.html HTTP/1.1" 200 5132
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:56:23 -0300] "GET /the_Battle_for_Gondria/system/admin/index.html?cadastro HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:56:23 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:56:23 -0300] "GET /the_Battle_for_Gondria/system/admin/cadastro.html HTTP/1.1" 200 3200
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:56:23 -0300] "POST /the_Battle_for_Gondria/ConsultaPorLogin HTTP/1.1" 200 145
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:57:51 -0300] "POST /the_Battle_for_Gondria/CadastraUsuario HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:58:27 -0300] "POST /the_Battle_for_Gondria/CadastraUsuario HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:58:27 -0300] "POST /the_Battle_for_Gondria/ConsultaPorLogin HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:59:30 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:59:31 -0300] "GET /the_Battle_for_Gondria/system/admin/index.html?controle HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:59:31 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:59:31 -0300] "GET /the_Battle_for_Gondria/system/admin/controle.html HTTP/1.1" 200 1453
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:59:34 -0300] "GET /the_Battle_for_Gondria/system/admin/index.html?main HTTP/1.1" 200 3544
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:59:35 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 158
0:0:0:0:0:0:0:1 - - [12/Sep/2018:15:59:35 -0300] "POST /the_Battle_for_Gondria/ConstroiCharts HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:01:15 -0300] "POST /the_Battle_for_Gondria/Logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:01:37 -0300] "POST /the_Battle_for_Gondria/Login HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:01:50 -0300] "POST /the_Battle_for_Gondria/Login HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:08:58 -0300] "POST /the_Battle_for_Gondria/Login HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:08:59 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:09:01 -0300] "GET /the_Battle_for_Gondria/system/user/index.html?jogo HTTP/1.1" 200 3635
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:09:01 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:09:01 -0300] "GET /the_Battle_for_Gondria/system/user/jogo.html HTTP/1.1" 200 194
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:09:21 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:09:27 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:09:31 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:09:33 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:09:37 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:09:45 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:09:48 -0300] "GET /the_Battle_for_Gondria/system/user/index.html?ranking HTTP/1.1" 200 3635
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:09:48 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 170
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:09:48 -0300] "GET /the_Battle_for_Gondria/system/user/ranking.html HTTP/1.1" 200 961
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:09:48 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:09:55 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:09:55 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:09:56 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:09:57 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 591
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:09:58 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:10:00 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 62
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:10:01 -0300] "POST /the_Battle_for_Gondria/ConsultaRanking HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:10:02 -0300] "POST /the_Battle_for_Gondria/Logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:10:08 -0300] "GET /the_Battle_for_Gondria/index.html?cadastro HTTP/1.1" 200 6689
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:16:36 -0300] "POST /the_Battle_for_Gondria/CadastraUsuario HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:16:43 -0300] "POST /the_Battle_for_Gondria/Login HTTP/1.1" 200 32
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:16:44 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:16:46 -0300] "POST /the_Battle_for_Gondria/ValidaSessao HTTP/1.1" 200 161
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:16:54 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 34
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:17:09 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 41
0:0:0:0:0:0:0:1 - - [12/Sep/2018:16:17:22 -0300] "POST /the_Battle_for_Gondria/CadastraPontuacao HTTP/1.1" 200 41
